#Types Before Cut: 41421
#Types After Cut: 28054
#Search Hits: 0
464	12	36.588	dorrsett
465	12	36.588	greystone
466	12	36.588	irl
467	12	36.588	porsch
468	12	36.588	rollah
469	12	36.588	swagged
470	12	36.588	vacants
471	12	36.588	yolo
472	27	36.555	miley
473	23	36.523	documentary
474	107	36.444	salute
475	17	36.398	rondo
476	58	36.360	shoutout
477	566	36.270	buy
478	35	36.253	blocka
479	22	36.213	forgives
480	558	36.176	alone
481	29	36.168	unnecessary
482	132	36.062	couch
483	18	35.985	tmz
484	21	35.977	youuuu
485	19	35.824	yates
486	69	35.668	mattress
487	374	35.664	road
488	214	35.659	favorite
489	1309	35.519	told
490	113	35.002	ceiling
491	27	34.943	forrest
492	716	34.916	friends
493	171	34.702	flight
494	75	34.575	wolves
495	215	34.526	kitchen
496	1724	34.423	boy
497	15	34.402	worldstar
498	48	34.247	shore
499	22	34.147	spikes
500	50	34.139	darling
501	188	34.118	fucker
502	51	34.107	inna
503	223	34.093	everyone
504	53	34.080	bi
505	124	34.027	clouds
506	1240	33.988	much
507	96	33.931	religion
508	25	33.786	cougar
509	16	33.684	yeeeeah
510	104	33.659	animal
511	86	33.597	overseas
512	108	33.591	pole
513	59	33.552	lighters
514	11	33.539	balenciaga
515	11	33.539	bbm
516	11	33.539	eardrummers
517	11	33.539	krizzle
518	11	33.539	syd
519	11	33.539	trending
520	11	33.539	witter
521	27	33.416	lala
522	740	33.386	round
523	55	33.369	vuitton
524	1005	33.349	city
525	17	33.348	shanghai
526	19	33.324	emo
527	597	33.265	ho
528	18	33.253	gwaan
529	122	33.231	legend
530	458	33.026	living
531	43	33.004	cole
532	13	32.924	pacquiao
533	2113	32.913	day
534	52	32.573	yessir
535	51	32.565	spotlight
536	219	32.259	cocaine
537	1057	32.256	fly
538	422	32.134	both
539	1010	31.956	club
540	240	31.912	ghost
541	216	31.896	cost
542	67	31.805	thousands
543	582	31.798	phone
544	1158	31.787	til
545	2317	31.743	even
546	61	31.743	wedding
547	14	31.612	leggo
548	14	31.612	liv
549	14	31.612	pistachio
550	1198	31.462	talkin
551	76	31.440	boi
552	184	31.309	crown
553	54	31.209	lamborghini
554	108	31.136	popping
555	19	31.080	courtside
556	19	31.080	meech
557	19	31.080	os
558	212	31.078	bunch
559	15	30.989	bans
560	665	30.824	lost
561	16	30.733	donâ
562	17	30.707	boosie
563	40	30.702	aston
564	62	30.612	nother
565	133	30.517	barely
566	10	30.490	belaire
567	10	30.490	bieber
568	10	30.490	coachella
569	10	30.490	hashtag
570	10	30.490	résume
571	10	30.490	swagging
572	10	30.490	theeeey
573	10	30.490	wholy
574	10	30.490	wobbledy
575	22	30.471	medicated
576	37	30.245	alien
577	113	30.230	shades
578	12	30.029	basquiat
579	12	30.029	dependent
580	12	30.029	hookah
581	199	29.926	lane
582	26	29.911	ambitious
583	53	29.784	photo
584	2258	29.697	new
585	50	29.622	greatness
586	48	29.558	beamer
587	98	29.518	swagger
588	20	29.477	sol
589	298	29.306	glass
590	427	29.285	boss
591	65	29.249	homo
592	145	29.191	kings
593	253	29.106	everywhere
594	30	29.065	forbes
595	19	29.045	jizzle
596	19	29.045	lam
597	19	29.045	massachusetts
598	19	29.045	varsity
599	257	29.029	space
600	508	28.990	talking
601	1275	28.910	always
602	13	28.839	youuu
603	22	28.823	piru
604	100	28.712	verses
605	24	28.573	skee
606	415	28.548	bag
607	81	28.384	neighbors
608	530	28.382	coming
609	92	28.319	cloud
610	14	28.316	conrad
611	14	28.316	mazing
612	152	28.270	woke
613	21	28.248	retro
614	16	28.187	dmv
615	125	28.151	millions
616	15	28.143	turtleneck
617	176	28.027	lit
618	25	27.883	yeaaah
619	110	27.759	hating
620	138	27.707	dinner
621	126	27.702	phantom
622	188	27.673	watching
623	216	27.587	brick
624	150	27.557	rolls
625	9	27.441	chapo
626	9	27.441	cîroc
627	9	27.441	fishtailin
628	9	27.441	freshy
629	9	27.441	gim
630	9	27.441	hearrrrrt
631	9	27.441	liquorrrrr
632	9	27.441	nooooooise
633	9	27.441	prhyme
634	9	27.441	satisfiction
635	9	27.441	seepage
636	9	27.441	supafreak
637	9	27.441	tellem
638	9	27.441	thim
639	9	27.441	yuugh
640	9	27.441	zimmerman
641	67	27.395	paris
